ClusterID,Cluster_代表证候,id,Name,Typical_performance,Definition
0,津亏热结证,24,气分湿热证,身热不扬、胸闷腹胀、身目发黄、肢体困倦、呕恶、尿黄、舌红苔黄腻、脉濡数或滑数,是指湿热侵迫气分，以身热不扬，胸闷腹胀，身目发黄，肢体困倦，呕恶，尿黄，舌红苔黄腻，脉濡数或滑数等为常见症的证候。在临床上大致可表现为湿重于热、热重于温，湿热并重等三种不同的证候类型。并易兼挟食滞、痰阻、外发白㾦等症，证候多属实。常见于湿阻、湿温病等疾病中。西医学的肠伤寒、斑疹伤寒、钩端曝旋体病、登革热等传染性疾病中可见本证。
0,津亏热结证,29,热在气分证,发热不恶寒、反恶热、心烦、喘息、汗出、口渴引饮、尿短赤、舌红苔黄燥、脉数洪大,是指邪入阳明气分，里热蒸腾的证候，既可从卫分传变而来，亦可直入气分或从营分转出。主要临床表现为发热不恶寒，反恶热，心烦，喘息，汗出，口渴引饮，尿短赤，舌红苔黄燥，脉数洪大。常见于产后发热等疾病中。
0,津亏热结证,38,风热痰凝证,发热面赤、咳嗽、痰多而黄稠、胸闷气喘、咽喉肿痛、或疮疡肿痛质硬、难溃难消、舌红苔黄腻、脉滑数,是指风热痰毒凝滞，气血不畅，以发热面赤，咳嗽，痰多而黄稠，胸闷气喘，咽喉肿痛，或疮疡肿痛质硬、难溃难消，舌红苔黄腻，脉滑数等为常见症的证候。本病证见于瘿痈，相当于西医病名急性或亚急性甲状腺炎。
0,津亏热结证,50,脾虚湿热证,身体困重、身热不扬、食少腹胀、便溏、舌红胖齿痕、苔黄厚腻、脉细濡数,是指脾气虚弱，湿热内蕴，以食少，腹胀，便溏不爽，身热不扬，身体困重，舌红胖，苔黄滑，脉滑数等为常见症的证候。常见于痢疾，口疮，消渴，黄疸，痞证等疾病中。
0,津亏热结证,55,暑伤肺胃证,发热、口渴、神疲乏力、气短、自汗、脉弱,是指暑热之邪耗伤肺胃津气，以发热，口渴，神疲乏力，气短，自汗，脉弱等为常见症的证候。常见于夏季热等疾病中。
0,津亏热结证,69,肺热津伤证,发热口渴、咳嗽痰少、气喘、便秘尿黄、舌红苔黄少津、脉数,是指肺热炽盛，阴液亏虚，以发热口渴，咳嗽痰少，气喘，便秘尿黄，舌红苔黄少津，脉数等为常见症的证候。本病证见于消渴、痿证。
0,津亏热结证,70,毒邪内闭证,壮热口渴、神昏澹语、面色暗红、便秘尿黄、舌红绛、苔黄、脉沉数,是指毒邪炽盛，内闭脏腑所致的证候，临床表现为壮热口渴，神昏澹语，面色暗红，便秘尿黄，舌红绛，苔黄，脉沉数。常见于疫毒痢。
0,津亏热结证,78,气阴两伤证,神疲倦怠、少气乏力、咽燥口渴、大便干结、舌红苔剥、脉细无力,是指是指热伤气阴所致，出现神疲倦怠、少气乏力，咽燥口渴、大便干结、舌红苔剥、脉细无力。一类病证。本病证见于泄泻。
0,津亏热结证,87,湿热阻络证,发热口渴不甚、肢体重痛、麻木、瘙痒、苔黄腻、脉滑数等,指湿热之邪阻滞经脉的证候。症见发热口渴不甚，肢体重痛、麻木，瘙痒，苔黄腻，脉滑数等。常见于肌痹、下肢深静脉血栓形成等疾病中。
0,津亏热结证,104,心热血瘀证,发热口渴、心烦面赤、心胸刺痛、悸动不宁、唇舌紫红、脉促或涩等,是指热邪内扰，血行不畅，以发热口渴、心烦面赤、心胸刺痛、悸动不宁、唇舌紫红、脉促或涩等为常见症的证候。常见于胸痹等疾病中。
0,津亏热结证,113,火毒内攻证,壮热烦渴、躁动不安、口干唇焦、大便秘结、小便短赤、舌质红或红绛而干、舌苔黄或黄糙、或焦干起刺、脉弦数等,是指指多因火热邪毒，侵害人体，损伤经脉，瘀阻气血，以致皮焦肉卷，重者火毒循经入里，内攻脏腑，耗伤气阴，致脏腑不和，阴伤阳脱险象所致病证。临床表现为壮热烦渴，躁动不安，口干唇焦，大便秘结，小便短赤，舌质红或红绛而干，舌苔黄或黄糙，或焦干起刺，脉弦数等。常见于烧伤等疾病中。
0,津亏热结证,118,火毒窜络证,发热口渴、肢体患处麻木、疼痛、斑点或见出血等,是指风热火毒窜入经络，以发热口渴，肢体患处麻木、疼痛、斑点或见出血等为常见症的证候。常见于丝虫病等疾病中。
0,津亏热结证,124,阳明经证,身大热、汗大出、口大渴、脉洪大等,指邪热亢盛，充斥阳明之经，弥漫全身，肠中尚无燥屎内结，以身大热、汗大出、口大渴、脉洪大等为常见症的证候。常见于春温，暑温，温疟，冬温等疾病中。
0,津亏热结证,169,暑湿证,口渴、神疲倦怠、肢体困重、关节酸痛、心烦面垢、汗出不彻、舌红苔黄腻、脉滑数,指暑湿之邪交阻内蕴所致的，以口渴、神疲倦怠、肢体困重、关节酸痛、心烦面垢、汗出不彻，舌红苔黄腻，脉滑数等位常见症的证候。常见于泄泻、感冒、呕吐等疾病中。
0,津亏热结证,176,燥气化火证,身热、干咳无痰、咯血、气喘、胸满胁痛、心烦口渴、鼻燥咽干、大便干结,指多因外燥燥气侵袭人体，从口鼻，肌表而入，肺燥阴伤所致病证。临床表现为身热，干咳无痰，咯血，气喘，胸满胁痛，心烦口渴，鼻燥咽干，大便干结。常见于干燥综合征等疾病中。
0,津亏热结证,206,邪窜肝经证,腮部肿胀、发热、男性睾丸肿痛、女性少腹痛、舌质偏红、苔黄、脉弦数,指多因外邪走窜，侵犯肝脏所致病证。临床表现为腮部肿胀，发热，男性睾丸肿痛，女性少腹痛，舌质偏红，苔黄，脉弦数。常见于痄腮等疾病中。
0,津亏热结证,214,肺热饮停证,发热、口渴、咳嗽气喘、胸闷、胸痛、喉间哮鸣、舌红苔黄、脉弦数等,是指邪热炽盛，水饮停肺，以发热口渴，咳嗽气喘，胸闷胸痛，或有哮鸣，舌红苔黄滑，脉弦数等为常见症的证候。常见于肺胀等疾病中。
0,津亏热结证,217,肺经郁火证,发热口渴、咽喉肿痛、咳嗽、痰黄质黏、鼻中气热、舌红苔黄、脉数等,是指火热郁结肺经，以发热口渴，咽喉焮红灼痛，咳嗽，吐黄痰，鼻气灼热，舌红苔黄，脉数等为常见症的证候。常见于火疳、白睛溢血、鼻窒、副鼻窦炎等疾病中。
0,津亏热结证,229,阳明水热互结证,渴欲饮水、小便不利、发热、心烦不得眠、或咳、或呕、或下利、舌质红、苔少、脉浮,是指因邪热与水气互结，胃液肾阴被劫，水气不利所致。临床表现为渴欲饮水，小便不利，发热，心烦不得眠，或咳，或呕，或下利，舌质红、苔少，脉浮。常见于阳明病。西医学的慢性肾盂肾炎、尿路结石、膀胱炎等泌尿系统疾病中可见本证。
0,津亏热结证,253,湿热犯腰证,腰脊酸胀疼痛、沉重、发热口渴、苔黄腻、脉滑数,是指湿热之邪侵及腰部，以腰脊酸胀、沉重、疼痛，发热口渴，苔黄腻，脉滑数等为常见症的证候。常见于偏痹、腰痹等疾病中。
0,津亏热结证,265,余热未清证,低热不退、或夜热早凉、心烦口渴、便结尿黄、体瘦疲乏、舌红少津、脉细数,是指邪热未能彻底清除，以低热不退，或夜热早凉，心烦口渴，便结尿黄，体瘦疲乏，舌红少津，脉细数等为常见症的证候。本证见于暑湿恢复期。
